,tweetText,pos_count,neg_count,sentiment
0,uphill task students kargil attend online classes atop mountain students village indopak border walk two kilometres every day climbing mountain attend online classes due lack internet connectivity village,1,4,Negative
1,uphill task students kargil village attend online classes atop mountain via thewirein,1,4,Negative
2,would like work online tutor like josephine visit us information tuition tutoring isolation education corona tutoringservices homeschoolinguk parenting onlinetutoring homeschooling gcse alevels exams,2,2,Neutral
3,hard imagine highered could maintained semblance business usual without online learning lms place spoke leading universities take edtech latest whitepaper,2,4,Negative
4,greece second city thessaloniki gone near total lockdown morning people still allowed go work primary middle schools still open senior high schools higher education switched online classes,1,2,Negative
5,britain teaching unions disgrace education jeremyvine bbcnews skynews itvnews bbcbreakfast bbcpm wato newsnight politicslive,2,3,Negative
6,boys latoo village kargil district indopak border walk km every day climbing mountain attend online classes due lack internet connectivity girls wait boys return evening study material,0,3,Negative
7,stress education teachers feel conducting online virtual learning stressful classroom teaching see poll results,0,4,Negative
8,children learned little nothing school closures despite online learning lockdown education schooling coronavirus corona melindacmills oxforddemsci bisschoolgag michaelpiazolo kmbayern,0,2,Negative
9,healthcare professionals countries taken free online course criticalcare futurelearn sign run course starts next week relevant working critical care globally rcpedin,3,3,Neutral
10,news universities say students england not move home lockdown even courses switched taught online full story bbcnews news,0,4,Negative
11,highlights include students adapted online study response prospective students expect person classes resume growing popularity alternative forms education microcredential courses,3,2,Positive
12,key challenges faced higher educational institutions vibhas sukhwani amp rajib shaw keiouniv share timely research thecobs highered online education,1,1,Neutral
13,tunisia universities suspend contact classes use online education period two weeks starting november wagdy sawahel reports coronavirus globaled africaed,1,1,Neutral
14,impact million fall extreme poverty increased cases gbv lack access education risk leaving perpetrators large lack legal framework protect women girls online crimes etc wfduganda uwopa uwonet,5,6,Negative
15,study lcci uva installment plan available interest online classes available recorded videos available students revision course notes past year questions amp practice workbook provided accounting education stayathome,2,4,Negative
16,punjab school education secretary mr krishan kumar referring emerging trend online elearning education emphasized importance skill development tackle current unemployment problem,1,5,Negative
17,considering reconsidering college plans spring semester gbh radio talks stcc student saralizm npratc chose communitycollege listen,1,2,Negative
18,im calling slcschools board education hypocrites meeting electronically election day approve abandonment online learning openschools person learning utpol,1,2,Negative
19,online education team gathered lots great resources also watch zekeemanuel talk transmissions risks reopenings video,1,4,Negative
20,britain teaching unions disgrace education jeremyvine bbcnews skynews itvnews bbcbreakfast bbcpm wato newsnight,2,3,Negative
21,us spent two decades talking pandemic preparedness amp failed consider childrenschoolseducation amp ensuring online access students would work two decades talking massive failure world wealthiest nation,3,9,Negative
22,least two schools hungary gone rogue amp moved online ed without formal approval national education administration due critical number staff sick coronavirus one baptistrun church good terms govt,2,7,Negative
23,close schools going second lockdown need properly means closing schools colleges universities argues robert poole education,2,3,Negative
24,education therapist professional organizer two students share tips stay organized motivated taking classes online pandemic schools distancelearning,1,3,Negative
25,given spread misinformation surrounding online official britain needs politics taught schools piece independent comms wiz machiavellie explains article condensed politicalliteracy,0,9,Negative
26,whether online learning traditional method education pandemic produced huge changes higher education field edlw oew,1,2,Negative
27,parents students view online learning pewresearch center social demographic trends via googlenews prek technology mondayvibes homeschool reading mondaymorning mondaythoughts education,0,5,Negative
28,lowcost items improve onlinelearning kids marketwatch via googlenews prek esl technology mondayvibes homeschool reading mondaymorning mondaythoughts education writingcommunity listening,2,4,Negative
29,learnt lost learning avg school closures lasted regular school year countries surveyed countries introduced remedial programmes onlinetv used remote learning methods,0,1,Negative
30,pandemic switch online learning upended lot things campus life many college students including students able vote grateful stories students organizing gotv states vote,1,7,Negative
31,new episode interview robin rutschilling amp ernie doering cilcom pmpa speakingofprecision podcast back special interview clippard instrument laboratory inc precisionmachining visit information,0,3,Negative
32,greece second city thessaloniki put second lockdown cases surge icu places city hospitals fill perversely schools remain open higher education switch online teaching,0,4,Negative
33,started morning oneweek training course upr amp un humanrights system coorganized wuprinfo due pandemic course taking place online participants around world welcome,2,2,Neutral
34,jan not health gates desperate fix cough also invested education amp datamafia potentially direct access world children via remote schoolingonline teaching via trojan horse,1,5,Negative
35,online uni blessing curse sheffielduni student florenne explores pros cons zoom university studentlockdown zoomuniversity education,3,4,Negative
36,make secondlockdown amp gain accredited level qualifications online home free everyone aged living england amp not education stayhome jobs careers work training online lockdown courses,3,1,Positive
37,rapid adoption online solutions remote learning work raised many issues infrastructure digital inclusion literacy might mean future education digital telecom edtech education,2,5,Negative
38,news day free online classes maharashtra fyjc students monday state council educational research training scert education edtwt schools college student learning tech technology learn elearning,1,3,Negative
39,online research conducted citizens platform sdg bangladesh reveals due pandemic young people years old bangladesh left education augment family income support family,2,1,Positive
40,important understand student perspectives around change online education pandemic example france must read trying deliver optimal medical education france elearning distancelearning meded,3,3,Neutral
41,fyjc admissions remain stalled state education department started online lectures junior colleges begin link videos found toimumbai varshaegaikwad vgarad,1,3,Negative
42,decision online classes class students taken avoid academic loss till colleges start functioning normally maharashtra onlineclasses onlineeducation coronaviruspandemic,1,6,Negative
43,free playbook offers guidance faculty moving courses fully online via jimlerman online edtech edtechchat education,2,0,Positive
44,nov tunein cpdwcmq live webinar healthcare education series featuring ughe student eden gatesi experts exploring perspectives remote teaching amp online learning medical education register,2,3,Negative
45,join shyampatodia learning education learn candlestick candles candlesticks study teacher training student students onlinelearning business online stockmarket sharemarket bse nse money nishantmendhe stockmarketinitiative,0,6,Negative
46,varshaegaikwad cmomaharashtra ajitpawarspeaks scertmaha unjustifiedschoolfees parents contacted education deptt amp lodged grievances regarding deactivation online classesapps private schools impact yet schools still blocking online ids children amp not allowing half yearly exams pandemic,2,9,Negative
47,mathnasiumhome online tutoring help prevent covid slide math see coronavirus onlinelearning education math mathskills,1,4,Negative
48,not miss tomorrow morning star sneak peak front page buy revolution support daily paper britain fighting one subscribing corbyn lockdown education poland,1,4,Negative
49,close classrooms put lives risk education unions blast government fatal flaw keeping schools colleges universities open upcoming national lockdown education lockdown,0,5,Negative
50,marthaunplugged thank think attitude towards teachers sat around nothing whole lockdown personally think education system needs change accommodate needs go online lockdown,1,3,Negative
51,join us week amazing webinars debates presentations online education opened highered assessment edlw eodlw oew,1,1,Neutral
52,ngrumpty markstokesouth toryfibs not risk interaction education delivered via online learning whilst lockdown schools remain open keyworkersenat risk children,1,4,Negative
53,please donate iwantyoutostudy campaign raising money purchase digital device iranian children afford continue online education,2,4,Negative
54,information see link join telegram group shyampatodia learning education learn study teaching teacher knowledge training student students online stockmarket sharemarket bse nse nishantmendhe,1,6,Negative
55,skynews close schools amount time need scrap gcse amp alevel exams amp schools amazing job teaching online long way full education closetheschoolsnow,1,4,Negative
56,truestory lol education teaching avoideyecontact weseeyou lol not relatable online teaching time,0,2,Negative
57,singapore results national exams released online via stcom socialdistancing schoolreopening exams tests students want collect results person classrooms instead school halls reduce crowds,2,3,Negative
58,maharashtra school education department starting online classes std xi arts commerce science stream students monday november interested students may please register cmomaharashtra ajitpawarspeaks scertmaha,1,5,Negative
59,various platforms help teachers giving onlinelessons interacting students,0,3,Negative
60,remote schooling affected learning issues according gpforeducation blog cost amp limited access internet virtual platforms not disability friendly support children online sessions,2,8,Negative
61,school lost connection students teachers feeling edtech edtechchat edchat online education,0,4,Negative
62,secrets stylist present best self online online edtech edtechchat education edchat zoom,1,2,Negative
63,pandemic problem developed interactive games make online learning fun kids video taken phonics class kiddy neoacademy neoacademyjakarta preschool kindergarten education children onlinelearning telukgong,1,2,Negative
64,cdc proven kids transmit keep schools open mix not attitude online teaching amp penny pinching stops education online takeover cbbc cbeebies education broadcasts borisjohnson rishisunak gavinwilliamson,3,2,Positive
65,professional courses carrying continuing professional education cpe credits study online fintech riskmanagement payments banking technology erm bank training courses onlinetraining,1,2,Negative
66,students lost interest going school unicef not every student access online learning due poverty lack infrastructure long schools closed pic taken august education schools children impact qualityeducation,1,6,Negative
67,study online professional courses carrying continuing professional education cpe credits fintech riskmanagement payments banking technology erm fx training courses onlinetraining technology onlinetraining,1,2,Negative
68,earth borisjohnson tell universities close amp move online next year reimburse fees amp move students home one key groups spread occurring rapidly almost education served online coronavirus,1,4,Negative
69,got ta thank things saving students time introducing online education instead useless old theory lectures normalizing wearing masks crowds male doctors scrubs thing everyday everywhere,1,4,Negative
70,sat holcombforin friday talk economy broadband story today timesunion online indiana education jobs careers,0,1,Negative
71,digital learning solutions online learning remotelearning resources education unesco edchateu,0,2,Negative
72,schule war gestern pandemic changed education forever,0,3,Negative
73,online learning massive learning curve south africa propelled schools make rapid progress would otherwise made phephaufunde education brunchwithreggie educationforall,5,1,Positive
74,pandemic managed undo progress made towards girls education read find swataleem battled odds make online education accessible young girls mewat panipat backtoschool,2,4,Negative
75,insane national plan stop spreading localstate border energy around getting sports back getting kids classroom taught online know comparison inperson education,2,4,Negative
76,millsprofessor dr Tomas Galguera chair teacher education department millssoe since caught dr galguera hear research thoughts traumainformedpractice finding ways humanize online learning,0,7,Negative
77,nonprofit universities shift online expand access quality education adult learners cofounder ceo chippaucek impact highered moving forward nobackrow,0,1,Negative
78,without access online teaching roma children education put hold euronews warns romani racism education pandemic,0,3,Negative
79,education coalition released resources ihe educator prep programs including lessons learned preparing crises threatening interrupt teacher prep student strategies advocating online learning support learn,3,10,Negative
80,next month ishltv latest science heart amp lung transplantation free live webinar give update latest protocols therapeutic trials evaluation listing criteria plus chance interact faculty,1,3,Negative
81,increased costs amp uncertainty indigenous postsecondary education institutions amp students investing additional provide immediate support retain staff adapt online courses amp implement public health amp safety measures inperson services,5,6,Negative
82,vedai online education made easy online education fight against corona,3,1,Positive
83,fail plan plan fail distressing time decisive important big thank seattletimes spotlighting bgcmia efficient response pandemic create greatfutures read full story,5,7,Negative
84,nstnation institutions involved primary secondary schools ministry teachers education institutes well private schools registered ministry redzone schools closed,1,3,Negative
85,gartner research states companies implemented ai post outbreak schools also following find emotionai helping indian education system read heregt edtech onlinelearning affectlab education startups,2,3,Negative
86,education online way never seen coming soon olarp educational onlineeducation alwayslearning stayhomeandlearn learning education olarp,0,0,Neutral
87,felt home school deaf kids came pandemic online learning publichealth publiceducation education disability deaf cripthevote ada fail instruction,1,5,Negative
88,pandemic moved many aspects education online countries around world lack connectivity not inconvenience crisis learn latest blog annemartinconn,1,5,Negative
89,want become something like bill gates kid coders like hirranyaa showing india pioneering online education remote learning feeds demand programming lessons bw whitehatjunior,2,0,Positive
90,nstnation ministry education moe rather silent plan sop spm students exams coronavirus cmco kempendidikan,1,3,Negative
91,parents students learning online worry falling behind ruthigielnik sel education,0,6,Negative
92,although number households possessing smartphones increased lack study material making difficult many cope online classes telangana hyderabad education online kcr ktr,4,7,Negative
93,one good outcome learning conferences across world become available us india online seeing positive side learning education,3,1,Positive
94,amazonin would like gift near school teacher lockdown not open school online education please phone amazongreatindianfestival amazonin,3,3,Neutral
95,parents worry students fall behind due pandemic usnews online education school coronavirus,0,6,Negative
96,today worldteachersday anglicarevic discussing teachar program ensuring children experienced trauma engage onlinelearning created largest disruption education system ever vital child left behind,0,6,Negative
